name,description,url,category
Azure security documentation,"Azure offers security advantages that support compliance efforts, and provide cost-effective security for your organization, and help protect your hybrid and multicloud platforms, applications, and data.",https://learn.microsoft.com/en-us/azure/security/,Security
Microsoft Cloud Adoption Framework for Azure,Secure methodology designed to help cloud architects and business decision makers create and implement security strategies for the cloud,https://learn.microsoft.com/en-us/azure/security/,Security
Azure security fundamentals,Learn how to secure your cloud solutions on Azure,https://learn.microsoft.com/en-us/azure/security/,Security
Azure Security Benchmark,Best practices and recommendations to secure your cloud deployments,https://learn.microsoft.com/en-us/azure/security/,Security
Azure Well-Architected Framework,Design principles for a securely architected system hosted on cloud or on-premises datacenters,https://learn.microsoft.com/en-us/azure/security/,Other
Azure Architecture Center,A set of guiding tenets that can be used to protect your applications and data from threats,https://learn.microsoft.com/en-us/azure/security/,Other
Azure key management,Key management solutions in Azure,https://learn.microsoft.com/en-us/azure/security/,Other
Azure Backup,"Azure Backup provides security to your backup environment, both when your data is in transit and at rest. With Azure Backup, you can back up:",https://learn.microsoft.com/en-us/azure/security/fundamentals/backup-plan-to-protect-against-ransomware,Security
Azure network security documentation,Learn about the various Azure network security services available that provide security for your resources in Azure.,https://learn.microsoft.com/en-us/azure/networking/security/,Networking
Introduction to Azure security,"We know that security is job one in the cloud and how important it is that you find accurate and timely information about Azure security. One of the best reasons to use Azure for your applications and services is to take advantage of its wide array of security tools and capabilities. These tools and capabilities help make it possible to create secure solutions on the secure Azure platform. Microsoft Azure provides confidentiality, integrity, and availability of customer data, while also enabling transparent accountability.",https://learn.microsoft.com/en-us/azure/security/fundamentals/overview,Security
Azure platform,"Azure is a public cloud service platform that supports a broad selection of operating systems, programming languages, frameworks, tools, databases, and devices. It can run Linux containers with Docker integration; build apps with JavaScript, Python, .NET, PHP, Java, and Node.js; build back-ends for iOS, Android, and Windows devices.",https://learn.microsoft.com/en-us/azure/security/fundamentals/overview,Compute
Summary of Azure security capabilities,"Depending on the cloud service model, there's variable responsibility for who is responsible for managing the security of the application or service. There are capabilities available in the Azure Platform to assist you in meeting these responsibilities through built-in features, and through partner solutions that can be deployed into an Azure subscription.",https://learn.microsoft.com/en-us/azure/security/fundamentals/overview,Security
