title,description,url,category
,"Upgrade to Microsoft Edge to take advantage of the latest features, security updates, and technical support.",https://learn.microsoft.com/en-us/azure/security/,General Security
Azure security documentation,"Azure offers security advantages that support compliance efforts, and provide cost-effective security for your organization, and help protect your hybrid and multicloud platforms, applications, and data.",https://learn.microsoft.com/en-us/azure/security/,Compliance
Implementation and operation,Migrate and modernize security operations management,https://learn.microsoft.com/en-us/azure/security/,General Security
Continued learning,Discover learning paths that help you improve your security in the cloud,https://learn.microsoft.com/en-us/azure/security/,General Security
Microsoft Learn training,"If you're new to security, build your skills with Microsoft Learn training",https://learn.microsoft.com/en-us/azure/security/,General Security
Microsoft Cloud Adoption Framework for Azure,Secure methodology designed to help cloud architects and business decision makers create and implement security strategies for the cloud,https://learn.microsoft.com/en-us/azure/security/,Monitoring
Azure Architecture Center,A set of guiding tenets that can be used to protect your applications and data from threats,https://learn.microsoft.com/en-us/azure/security/,General Security
Microsoft Sentinel,See and stop threats before they cause harm,https://learn.microsoft.com/en-us/azure/security/,General Security
Microsoft Defender for Cloud,Unify security management and advanced threat protection across hybrid cloud workloads,https://learn.microsoft.com/en-us/azure/security/,General Security
Microsoft Defender for Identity,Improve security of hybrid environments from cyber attacks and insider threats,https://learn.microsoft.com/en-us/azure/security/,General Security
Microsoft Defender for Cloud Apps,Cloud Access Security Broker (CASB) that operates on multiple clouds,https://learn.microsoft.com/en-us/azure/security/,General Security
Microsoft Defender for IoT,Threat detection for IoT/OT environments,https://learn.microsoft.com/en-us/azure/security/,General Security
Microsoft Defender XDR,Security solutions that protect your enterprise across attack surfaces,https://learn.microsoft.com/en-us/azure/security/,General Security
,"Upgrade to Microsoft Edge to take advantage of the latest features, security updates, and technical support.",https://learn.microsoft.com/en-us/azure/security-center/,General Security
Microsoft Defender for Cloud documentation,Microsoft Defender for Cloud provides unified security management and advanced threat protection across hybrid cloud workloads.,https://learn.microsoft.com/en-us/azure/security-center/,General Security
,"Upgrade to Microsoft Edge to take advantage of the latest features, security updates, and technical support.",https://learn.microsoft.com/en-us/azure/sentinel/,General Security
Microsoft Sentinel documentation,"Microsoft Sentinel provides attack detection, threat visibility, proactive hunting, and threat response to help you stop threats before they cause harm.",https://learn.microsoft.com/en-us/azure/sentinel/,General Security
,"Upgrade to Microsoft Edge to take advantage of the latest features, security updates, and technical support.",https://learn.microsoft.com/en-us/azure/security/fundamentals/zero-trust,General Security
In this article,"Zero Trust is a new security model that assumes breach and verifies each request as though it originated from an uncontrolled network. In this article, you'll learn about the guiding principles of Zero Trust and find resources to help you implement Zero Trust.",https://learn.microsoft.com/en-us/azure/security/fundamentals/zero-trust,Network Security
Guiding principles of Zero Trust,"Today, organizations need a new security model that effectively adapts to the complexity of the modern environment, embraces the mobile workforce, and protects people, devices, applications, and data wherever they are located.",https://learn.microsoft.com/en-us/azure/security/fundamentals/zero-trust,General Security
Guiding principles of Zero Trust,"To address this new world of computing, Microsoft highly recommends the Zero Trust security model, which is based on these guiding principles:",https://learn.microsoft.com/en-us/azure/security/fundamentals/zero-trust,General Security
Zero Trust architecture,A Zero Trust approach extends throughout the entire digital estate and serves as an integrated security philosophy and end-to-end strategy.,https://learn.microsoft.com/en-us/azure/security/fundamentals/zero-trust,General Security
Zero Trust architecture,"As an alternative to deployment guidance that provides configuration steps for each of the technology components protected by Zero Trust principles, Rapid Modernization Plan (RaMP) guidance is based on initiatives and gives you a set of deployment paths to more quickly implement key layers of protection.",https://learn.microsoft.com/en-us/azure/security/fundamentals/zero-trust,Monitoring
From security perimeter to Zero Trust,"Zero trust principles help establish and continuously improve security assurances, while maintaining flexibility to keep pace with this new world. Most zero trust journeys start with access control and focus on identity as a preferred and primary control while they continue to embrace network security technology as a key element. Network technology and the security perimeter tactic are still present in a modern access control model, but they aren't the dominant and preferred approach in a complete access control strategy.",https://learn.microsoft.com/en-us/azure/security/fundamentals/zero-trust,Authentication
